id,artist,song,album_name
0nqt0LfiOiVMAcoQ,Stevie Ray Vaughan and Double Trouble,Rude Mood,The Real Deal: Greatest Hits Volume 1
0RtweAx2UHLd5Bwr,Sweet,Fox on the Run,Best Of Sweet
0tGyfM8g4zni2Fpw,Stevie Nicks,Kind of Woman,Bella Donna (Remastered)
1lp3AkKObSaXUQj2,James Blake,Life Round Here,Overgrown
1NqEMzdMVUt7GvP3,Death Cab for Cutie,Title and Registration,Transatlanticism (10th Anniversary Edition)
22rb4j2448ogW4fq,Britney Spears,Rock Me In,Circus (Deluxe Version)
2mOa5wioEC7ThJyY,Tycho,Slack,Epoch
3EehSZTQqr6fUNWm,BRENNAN SAVAGE,Cold World,Cold World
3FsnGzrD9FvvUsxm,Joss Stone,Drive All Night,LP1
6mpDCmzOfVo4Ad1c,Tony Joe White,Polk Salad Annie,"The Best Of Tony Joe White Featuring ""Polk Salad Annie"""
6mwOzs6NiRLAStB8,Cocteau Twins,Shallow Then Halo,Garlands
8VNONiezek4gzvqq,The Birthday Party,Zoo Music Girl,Prayers on Fire
aAEYZcocyuXhpQvi,Anamanaguchi,Snow Angels,Endless Fantasy
ahel3LyBN072Xsyg,Green Day,Redundant,Nimrod
C7JjG3WEiJPd1YMx,Doves,Sea Song,Lost Souls
CNDUwm7I5Yx68nvd,Atreyu,Ex's And Oh's,A Death-Grip On Yesterday
d3XJODyFgcy3ZPiY,Robert Miles,Children,Dance Vault Mixes - Children
dAs88rrxQrn82Hxw,Rex Williams,You Are My Heart,Nigeria 70 - Lagos Jump
DQti7Wb8ru3bErme,Elton John,Believe,Made In England
EipOFmJxrPhfeDdp,Dolly Parton,Rockin' Years,Eagle When She Flies
F5E33YTAlHeJXeMd,Ratt,Slip of the Lip,Dancin' Undercover
FcX8oBDKh9IPOkF7,Kylie Minogue,Stay This Way,Hits +
fQbm65nkJ2lNTFlI,Of Mice & Men,Never Giving Up,Restoring Force: Full Circle
fqvEgwapRUre9ldH,Fantasia,Falling In Love Tonight,Back To Me
gkQkKDiC5ZHGFBt4,Morbid Angel,God of Emptiness,Covenant
GLHpznqlcD1XBs9E,Slaves,Cheer Up London,Are You Satisfied?
hdhhDy1P29HzobOe,Vega,La Conjura de los Necios,Wolverines
hgz3dkw5j3psgdfJ,The Osmonds,Crazy Horses,Crazy Horses
hGZfcGY9gbCdbIdI,Grupo Limite,Con La Misma Piedra,Por Puro Amor
IObi4LSXhEJZL8ri,Dinosaur Jr.,There's No Here,Farm
IOUaRRjBVS8dwi8s,The Chemical Brothers,Music: Response,Music Response
irAWx7njLUWG2eHn,Brian May,Driven By You,The Platinum Collection (Greatest Hits I II & III - 2011 Remaster)
j3nlQ8kestuTIl9t,Gilberto Gil,"Pega A Voga, Cabeludo",Gilberto Gil (1968)
KHgS7Ym5kkc1IIGJ,Jordin Sparks,Don't Let It Go to Your Head,Battlefield
KSxria3rBAQcYBIt,Eric Clapton,I Shot The Sheriff,461 Ocean Blvd. (Deluxe Edition)
LHYagWA6Waove2hS,Howard Shore,Wedding Plans,The Twilight Saga: Eclipse The Score
m8TsJOxqVAKuGZvL,Toby Fox,SAVE the World,UNDERTALE Soundtrack
MIVSmMzw5pgZXoSR,Green Day,Brutal Love,¡TRÉ!
N35KgpgRd3sYUcXw,Mariah Carey,Breakdown,Butterfly
nmXGlqePXN4JubnX,PUTOCHINOMARICÓN,El Test De La Bravo Y La Superpop,Corazón De Cerdo Con Ginseng Al Vapor
NYZLS92syeBKhrNr,The Killers,The World We Live In,Day & Age (Bonus Tracks)
p1VP0vVJmgPUIrqH,The xx,Dangerous,I See You
R7q7HEMxDWzyqu5Q,Britney Spears,I'm So Curious,The Singles Collection
rK5ZdC4afvNd7kLz,MC Mirella,Pode Sentar,Pode sentar
sBc3WEwdmXfiPiu9,Passenger,Travelling Alone,Whispers II
Sw0ZQeH0uTPGtsoH,Animals as Leaders,Private Visions Of The World,The Madness Of Many
t5EoCtTxvbxHruxM,M.I.A.,Fly Pirate,AIM (Deluxe)
TrHWNXvlKVbm9jBs,Makari,Wake Up,Elegies
TtUhb0mucHEbKZ8f,SAINt JHN,Some Nights (Extended),Collection One
U1nziZv9qUZS3jOZ,Alligatoah,Nicht wecken (Heute),Nicht wecken
UCbm14L6ORpEMt7B,Mac DeMarco,Watching Him Fade Away,This Old Dog
UJj71KVEwKdqGsYr,Natti Natasha,Independiente,ilumiNATTI
vB5ycbCh6rhxd0zZ,Javier Navarrete,"Long, Long Time Ago",Pan's Labyrinth
Vdkz2WQ7xcqS7l7w,Kanye West,Black Skinhead,Yeezus
vGrIgQA8nbuWlVYs,Vashti Bunyan,Some Things Just Stick in Your Mind,Some Things Just Stick In Your Mind (Singles And Demos 1964 To 1967)
VnPE0O14G2OI5jIH,The Script,We Cry,The Script
Vvleil2VGhGL4Nke,Empire of the Sun,Digital Life,Two Vines
w3Bg3iP0fgb7fvfT,Lana Del Rey,West Coast,Ultraviolence (Deluxe)
w6LyHGLw5zOPUppk,Heaven Shall Burn,Valhalla,Veto
WknFGL7B9g7s4ZeF,Jorge Blanco,Te La Dedico,Te La Dedico
wnnZ5S0ZsAaiAExc,Lucy Rose,Shiver,Like I Used To (Deluxe Edition)
wr21nOj1LERwvzk6,As I Lay Dying,The Truth of My Perception,Shadows Are Security
X4OlWoSBbZA4ro6i,Diante do Trono,à sombra do Altíssimo,Águas Purificadoras - Diante do Trono 3 (Ao Vivo)
X80tzYn7MVYPX3eM,JEONG SEWOON,"20 Something (PROD. Jung Dong Hwan, JEONG SEWOON)",ANOTHER
Xkx0xgFLulIXnmnJ,Cradle of Filth,Nymphetamine Fix,Nymphetamine Special Edition
XzCwQF8yeSbmtH4g,Kylie Minogue,Where Is the Feeling?,Kylie Minogue with Bonus Disc
z3nzbxeFT01WOXf8,Obituary,Chopped In Half - Reissue,Cause of Death (Reissue)
z6HI4NAVpZggGi1p,Bring Me the Horizon,Death Breath,Suicide Season
ZBOUo2hoZEvpshgr,Minnie Riperton,Les Fleurs,Les Fleurs
zI9DjkxOs5x1EhJQ,Anna Calvi,No More Words,Anna Calvi
